Class,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
,,,,,,,,,,,,,
Class 3,≥ 13.04,≥ 1.865,≥ 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 2,< 13.04,≥ 1.865,≥ 2.355,≥ 19.45,< 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,< 673.5
Class 3,≥ 13.04,≥ 1.865,≥ 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,≥ 673.5
Class 3,≥ 13.04,< 1.865,≥ 2.355,≥ 19.45,< 97.5,≥ 2.355,< 2.135,≥ 0.335,≥ 1.555,≥ 4.69,< 0.965,< 2.775,< 673.5
Class 1,≥ 13.04,≥ 1.865,≥ 2.355,≥ 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,≥ 0.965,< 2.775,≥ 673.5
Class 2,< 13.04,≥ 1.865,< 2.355,< 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,< 4.69,< 0.965,< 2.775,< 673.5
Class 2,< 13.04,≥ 1.865,< 2.355,≥ 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,< 673.5
Class 3,< 13.04,≥ 1.865,≥ 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,< 673.5
Class 2,< 13.04,< 1.865,< 2.355,≥ 19.45,< 97.5,≥ 2.355,≥ 2.135,≥ 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,< 673.5
Class 1,≥ 13.04,< 1.865,< 2.355,< 19.45,< 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 3,< 13.04,≥ 1.865,≥ 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,< 673.5
Class 1,≥ 13.04,< 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,< 1.555,< 4.69,≥ 0.965,< 2.775,≥ 673.5
Class 2,< 13.04,≥ 1.865,< 2.355,< 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,< 673.5
Class 3,< 13.04,≥ 1.865,< 2.355,< 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,≥ 673.5
Class 2,< 13.04,≥ 1.865,≥ 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,< 673.5
Class 3,≥ 13.04,≥ 1.865,< 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,< 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 2,< 13.04,< 1.865,< 2.355,≥ 19.45,< 97.5,< 2.355,≥ 2.135,≥ 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,< 673.5
Class 2,< 13.04,< 1.865,≥ 2.355,≥ 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 2,< 13.04,< 1.865,< 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,≥ 1.555,< 4.69,< 0.965,< 2.775,< 673.5
Class 2,< 13.04,< 1.865,< 2.355,< 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,≥ 0.965,< 2.775,< 673.5
Class 2,< 13.04,≥ 1.865,≥ 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,< 0.335,≥ 1.555,< 4.69,< 0.965,< 2.775,< 673.5
Class 1,< 13.04,≥ 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 1,≥ 13.04,≥ 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,< 1.555,≥ 4.69,< 0.965,≥ 2.775,≥ 673.5
Class 2,≥ 13.04,< 1.865,< 2.355,< 19.45,< 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,≥ 0.965,≥ 2.775,< 673.5
Class 2,< 13.04,< 1.865,< 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,≥ 0.965,< 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,< 2.355,< 19.45,< 97.5,≥ 2.355,≥ 2.135,< 0.335,< 1.555,< 4.69,≥ 0.965,< 2.775,≥ 673.5
Class 3,< 13.04,≥ 1.865,< 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,< 673.5
Class 3,< 13.04,≥ 1.865,< 2.355,< 19.45,≥ 97.5,< 2.355,< 2.135,< 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,≥ 673.5
Class 3,≥ 13.04,≥ 1.865,≥ 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,≥ 1.555,≥ 4.69,< 0.965,< 2.775,< 673.5
Class 3,≥ 13.04,≥ 1.865,≥ 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,≥ 673.5
Class 2,< 13.04,< 1.865,< 2.355,< 19.45,< 97.5,< 2.355,< 2.135,< 0.335,< 1.555,< 4.69,≥ 0.965,< 2.775,< 673.5
Class 2,< 13.04,≥ 1.865,< 2.355,< 19.45,< 97.5,< 2.355,≥ 2.135,< 0.335,< 1.555,< 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,< 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,< 1.555,< 4.69,≥ 0.965,< 2.775,≥ 673.5
Class 1,≥ 13.04,≥ 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 2,< 13.04,< 1.865,< 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,< 4.69,< 0.965,< 2.775,≥ 673.5
Class 3,< 13.04,≥ 1.865,≥ 2.355,≥ 19.45,≥ 97.5,< 2.355,< 2.135,< 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,< 673.5
Class 3,< 13.04,≥ 1.865,≥ 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,< 4.69,< 0.965,< 2.775,< 673.5
Class 2,< 13.04,< 1.865,< 2.355,< 19.45,≥ 97.5,< 2.355,< 2.135,≥ 0.335,≥ 1.555,< 4.69,≥ 0.965,< 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,< 2.355,< 19.45,< 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 2,< 13.04,< 1.865,< 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,≥ 1.555,< 4.69,< 0.965,< 2.775,< 673.5
Class 2,< 13.04,< 1.865,< 2.355,< 19.45,< 97.5,< 2.355,< 2.135,< 0.335,< 1.555,< 4.69,≥ 0.965,< 2.775,< 673.5
Class 2,≥ 13.04,≥ 1.865,< 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,≥ 1.555,≥ 4.69,< 0.965,< 2.775,< 673.5
Class 1,≥ 13.04,≥ 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,≥ 0.335,≥ 1.555,< 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 1,≥ 13.04,≥ 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,< 0.965,≥ 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,≥ 2.355,< 19.45,≥ 97.5,< 2.355,≥ 2.135,< 0.335,< 1.555,< 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 2,< 13.04,< 1.865,≥ 2.355,≥ 19.45,< 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,≥ 673.5
Class 2,< 13.04,< 1.865,< 2.355,< 19.45,< 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,≥ 0.965,< 2.775,< 673.5
Class 2,< 13.04,< 1.865,< 2.355,≥ 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,≥ 0.335,≥ 1.555,< 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 2,≥ 13.04,≥ 1.865,< 2.355,≥ 19.45,< 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,< 673.5
Class 1,≥ 13.04,≥ 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,< 1.555,≥ 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,≥ 2.355,< 19.45,< 97.5,≥ 2.355,≥ 2.135,≥ 0.335,≥ 1.555,≥ 4.69,≥ 0.965,< 2.775,≥ 673.5
Class 3,< 13.04,< 1.865,< 2.355,< 19.45,≥ 97.5,< 2.355,< 2.135,< 0.335,< 1.555,< 4.69,< 0.965,< 2.775,< 673.5
Class 3,< 13.04,≥ 1.865,≥ 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,≥ 673.5
Class 1,≥ 13.04,< 1.865,≥ 2.355,< 19.45,≥ 97.5,≥ 2.355,≥ 2.135,< 0.335,≥ 1.555,≥ 4.69,≥ 0.965,≥ 2.775,≥ 673.5
Class 3,≥ 13.04,≥ 1.865,≥ 2.355,≥ 19.45,< 97.5,< 2.355,< 2.135,≥ 0.335,< 1.555,≥ 4.69,< 0.965,< 2.775,< 673.5
Class 2,< 13.04,< 1.865,≥ 2.355,< 19.45,< 97.5,< 2.355,≥ 2.135,< 0.335,≥ 1.555,< 4.69,< 0.965,≥ 2.775,< 673.5
